id,file_size,number_of_sections,size_of_code,size_of_initialized_data,avg_section_entropy,num_imported_dlls,num_imported_functions,has_section_.rsrc,has_section_.reloc,has_dll_USER32.dll,has_dll_KERNEL32.DLL,has_dll_SHELL32.dll,has_dll_ADVAPI32.dll,has_dll_WININET.dll,has_dll_KERNEL32.dll,has_dll_GDI32.dll,has_dll_NETAPI32.dll,has_dll_PSAPI.DLL,has_dll_ntdll.dll,min_entropy,max_entropy,std_entropy,min_section_size,max_section_size,std_section_size,characteristics_271,characteristics_8462
cf1a8c92b688b47490580da6ba39f041,-0.509943890346513,0.3922322702763685,-0.507415848251537,-0.6235290109530643,-1.0124823095685964,-1.2474039431997854,-0.7174036609761277,1,0,1,1,0,0,0,0,0,0,0,0,-0.9350725260820995,-0.3345062628107224,1.2200573237651506,-0.3727966634063723,-0.507415848251537,-0.5035606224350767,1,0
3e91596c3ac370f2bb1503031d8233a2,2.172679943392962,0.3922322702763685,2.1612761455240346,-0.4849973647704693,1.5366909243776818,1.4137244689597568,1.936336761992586,0,1,1,1,0,1,0,0,1,1,0,1,1.3667420590164083,1.8692536448629704,-1.4204670077012107,1.2269438079159916,2.1612761455240346,2.1546477392331758,0,1
87d42bf400e7e4bbc9a634c99b0c3885,-0.48086395718944547,-1.5689290811054721,-0.4772611364574627,1.8925399596208432,0.7393077668397171,0.7484423659198712,-0.2499053481215356,0,0,1,0,1,1,1,1,0,0,0,0,1.093405590627893,0.3225344922127744,-0.9697197913556493,-0.2585294868833463,-0.4772611364574627,-0.4748083087342426,1,0
c1d42b9c7d82474001cfe7ece3aa6464,-0.48086395718944547,-1.5689290811054721,-0.4772611364574627,1.8925399596208432,0.8053063282266916,0.7484423659198712,-0.2499053481215356,0,0,1,0,1,1,1,1,0,0,0,0,1.149984319765495,0.3524636990219022,-1.047964841670209,-0.2585294868833463,-0.4772611364574627,-0.4748083087342426,1,0
4809b7d17503d68645a8f302e48118a0,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8638018163592766,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.8993697904550498,-1.1133770281763602,0.7696559628922562,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
6b5fc133bc7afc93d9266571dde1c16f,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8570197451985289,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.8822268732923408,-1.1133770281763602,0.7540797168217923,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
6c010a64e3b90faf42d3f1dd18e98896,2.1417825144135776,-1.5689290811054721,2.286920777999344,-0.5062110275269688,1.4702450791564863,2.0790065719996424,2.1563359680418057,0,0,1,1,0,1,0,0,1,1,1,1,1.3489158293361232,1.790766649666013,-1.2099369826724706,1.2269438079159916,2.286920777999344,2.4262373779590414,1,0
5f746b982632d8dcdb6a3721ac94143c,-0.4735939739001786,0.3922322702763685,-0.47223535115845033,0.6373982465279576,0.3842625426016668,-0.5821218401598999,-0.332405050389993,1,0,0,1,1,0,1,0,0,0,0,0,0.4139352419804446,-0.07265956860761073,-0.6933814431806293,-0.3156630751448593,-0.47223535115845033,-0.4707229136677187,1,0
311bc7eb9704411a540bb35ace4fc9f5,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8562034182816745,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.913225763012314,-0.8962575203472704,0.817243477112303,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
eb29782a433e20489e6631b21ede82ce,-0.48086395718944547,-1.5689290811054721,-0.4772611364574627,1.8925399596208432,0.7344188505121844,0.7484423659198712,-0.2499053481215356,0,0,1,0,1,1,1,1,0,0,0,0,1.0841370861228066,0.3225344922127744,-0.9626814003268502,-0.2585294868833463,-0.4772611364574627,-0.4748083087342426,1,0
